[ 2021-03-14 20:37:32,800 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Saruman" )
[ 2021-03-14 20:37:32,829 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 20:37:32,840 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 20:37:34,049 ] News query failed: "Unrecognized event news."
[ 2021-03-14 20:45:01,454 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 20:45:01,566 ] Disconnected from gameserver
[ 2021-03-14 20:45:45,916 ] News query failed: "Unrecognized event news."
[ 2021-03-14 20:45:47,277 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Saruman" )
[ 2021-03-14 20:45:47,299 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 20:45:47,316 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Deletera"
[ 2021-03-14 20:45:48,238 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2021-03-14 20:47:05,503 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Deletera"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-14 20:47:05,612 ] Disconnected from gameserver
